datetime,date,hour,demand,supply,loadshed,peak
2021-08-01T00:00,2021-08-01,0,,,0,
2021-08-01T01:00,2021-08-01,1,,,0,
2021-08-01T02:00,2021-08-01,2,,,0,
2021-08-01T03:00,2021-08-01,3,,,0,
2021-08-01T04:00,2021-08-01,4,,,0,
2021-08-01T05:00,2021-08-01,5,,,0,
2021-08-01T06:00,2021-08-01,6,,,0,
2021-08-01T07:00,2021-08-01,7,,,0,
2021-08-01T08:00,2021-08-01,8,,,0,
2021-08-01T09:00,2021-08-01,9,,,0,
2021-08-01T10:00,2021-08-01,10,,,0,
2021-08-01T11:00,2021-08-01,11,,,0,
2021-08-01T12:00,2021-08-01,12,,,0,day
2021-08-01T13:00,2021-08-01,13,,,0,
2021-08-01T14:00,2021-08-01,14,,,0,
2021-08-01T15:00,2021-08-01,15,,,0,
2021-08-01T16:00,2021-08-01,16,,,0,
2021-08-01T17:00,2021-08-01,17,,,0,
2021-08-01T18:00,2021-08-01,18,,,0,
2021-08-01T19:00,2021-08-01,19,,,0,
2021-08-01T20:00,2021-08-01,20,,,0,
2021-08-01T21:00,2021-08-01,21,,,0,evening
2021-08-01T22:00,2021-08-01,22,,,0,
2021-08-01T23:00,2021-08-01,23,,,0,
2021-08-02T00:00,2021-08-02,0,,,0,
2021-08-02T01:00,2021-08-02,1,,,0,
2021-08-02T02:00,2021-08-02,2,,,0,
2021-08-02T03:00,2021-08-02,3,,,0,
2021-08-02T04:00,2021-08-02,4,,,0,
2021-08-02T05:00,2021-08-02,5,,,0,
2021-08-02T06:00,2021-08-02,6,,,0,
2021-08-02T07:00,2021-08-02,7,,,0,
2021-08-02T08:00,2021-08-02,8,,,0,
2021-08-02T09:00,2021-08-02,9,,,0,
2021-08-02T10:00,2021-08-02,10,,,0,
2021-08-02T11:00,2021-08-02,11,,,0,
2021-08-02T12:00,2021-08-02,12,,,0,day
2021-08-02T13:00,2021-08-02,13,,,0,
2021-08-02T14:00,2021-08-02,14,,,0,
2021-08-02T15:00,2021-08-02,15,,,0,
2021-08-02T16:00,2021-08-02,16,,,0,
2021-08-02T17:00,2021-08-02,17,,,0,
2021-08-02T18:00,2021-08-02,18,,,0,
2021-08-02T19:00,2021-08-02,19,,,0,
2021-08-02T20:00,2021-08-02,20,,,0,
2021-08-02T21:00,2021-08-02,21,,,0,evening
2021-08-02T22:00,2021-08-02,22,,,0,
2021-08-02T23:00,2021-08-02,23,,,0,
